Object,Property,Violation Value,Violation Time
reg25to2501,continuous_rating|current_out_C,661159193019.0,2018-03-01 00:01:00 PST
reg160to16001,continuous_rating|current_out_B,181986982262.0,2018-03-01 00:01:00 PST
reg160to16001,continuous_rating|current_out_C,76606921485.0,2018-03-01 00:01:00 PST
line8to13,rating.summer.continuous|current_out_A,609.3671457126648,2018-03-01 00:01:30 PST
line8to13,rating.summer.continuous|current_in_A,609.366648467899,2018-03-01 00:01:30 PST
line8to13,rating.winter.continuous|current_out_A,609.3671457126648,2018-03-01 00:01:30 PST
line8to13,rating.winter.continuous|current_in_A,609.366648467899,2018-03-01 00:01:30 PST
line149to1,rating.summer.continuous|current_out_C,554.9516597604849,2018-03-01 00:01:30 PST
line149to1,rating.summer.continuous|current_in_C,554.9516664382224,2018-03-01 00:01:30 PST
line149to1,rating.winter.continuous|current_out_C,554.9516597604849,2018-03-01 00:01:30 PST
line149to1,rating.winter.continuous|current_in_C,554.9516664382224,2018-03-01 00:01:30 PST
reg150to15001,continuous_rating|current_out_B,409328217422.0,2018-03-01 00:01:30 PST
reg150to15001,continuous_rating|current_out_C,3598455494.0,2018-03-01 00:01:30 PST
reg25to2501,continuous_rating|current_out_C,675004191762.0,2018-03-01 00:01:30 PST
reg160to16001,continuous_rating|current_out_B,181168975943.0,2018-03-01 00:01:30 PST
reg160to16001,continuous_rating|current_out_C,604352214182.0,2018-03-01 00:01:30 PST
line8to13,rating.summer.continuous|current_out_A,610.3000178019005,2018-03-01 00:02:00 PST
line8to13,rating.summer.continuous|current_in_A,610.3000178019005,2018-03-01 00:02:00 PST
line8to13,rating.winter.continuous|current_out_A,610.3000178019005,2018-03-01 00:02:00 PST
line8to13,rating.winter.continuous|current_in_A,610.3000178019005,2018-03-01 00:02:00 PST
line149to1,rating.summer.continuous|current_out_C,554.9487553087087,2018-03-01 00:02:00 PST
line149to1,rating.summer.continuous|current_in_C,554.9477620349595,2018-03-01 00:02:00 PST
line149to1,rating.winter.continuous|current_out_C,554.9487553087087,2018-03-01 00:02:00 PST
line149to1,rating.winter.continuous|current_in_C,554.9477620349595,2018-03-01 00:02:00 PST
reg150to15001,continuous_rating|current_out_B,40969217557.0,2018-03-01 00:02:00 PST
reg150to15001,continuous_rating|current_out_C,36131554936.0,2018-03-01 00:02:00 PST
reg25to2501,continuous_rating|current_out_C,67146319058.0,2018-03-01 00:02:00 PST
reg160to16001,continuous_rating|current_out_B,18042971381.0,2018-03-01 00:02:00 PST
reg160to16001,continuous_rating|current_out_C,595683214181.0,2018-03-01 00:02:00 PST
line8to13,rating.summer.continuous|current_out_A,610.4172171007302,2018-03-01 00:02:30 PST
line8to13,rating.summer.continuous|current_in_A,610.416719864389,2018-03-01 00:02:30 PST
line8to13,rating.winter.continuous|current_out_A,610.4172171007302,2018-03-01 00:02:30 PST
line8to13,rating.winter.continuous|current_in_A,610.416719864389,2018-03-01 00:02:30 PST
line149to1,rating.summer.continuous|current_out_C,554.944738541479,2018-03-01 00:02:30 PST
line149to1,rating.summer.continuous|current_in_C,554.9437452629412,2018-03-01 00:02:30 PST
line149to1,rating.winter.continuous|current_out_C,554.944738541479,2018-03-01 00:02:30 PST
line149to1,rating.winter.continuous|current_in_C,554.9437452629412,2018-03-01 00:02:30 PST
reg150to15001,continuous_rating|current_out_B,4100592177.0,2018-03-01 00:02:30 PST
reg150to15001,continuous_rating|current_out_C,361051554932.0,2018-03-01 00:02:30 PST
reg25to2501,continuous_rating|current_out_C,667583189413.0,2018-03-01 00:02:30 PST
reg160to16001,continuous_rating|current_out_B,179687966942.0,2018-03-01 00:02:30 PST
reg160to16001,continuous_rating|current_out_C,59744214179.0,2018-03-01 00:02:30 PST
line8to13,rating.summer.continuous|current_out_A,610.5347970836716,2018-03-01 00:03:00 PST
line8to13,rating.summer.continuous|current_in_A,610.5342998530058,2018-03-01 00:03:00 PST
line8to13,rating.winter.continuous|current_out_A,610.5347970836716,2018-03-01 00:03:00 PST
line8to13,rating.winter.continuous|current_in_A,610.5342998530058,2018-03-01 00:03:00 PST
line149to1,rating.summer.continuous|current_out_C,554.9447523995448,2018-03-01 00:03:00 PST
line149to1,rating.summer.continuous|current_in_C,554.9437591900845,2018-03-01 00:03:00 PST
line149to1,rating.winter.continuous|current_out_C,554.9447523995448,2018-03-01 00:03:00 PST
line149to1,rating.winter.continuous|current_in_C,554.9437591900845,2018-03-01 00:03:00 PST
reg150to15001,continuous_rating|current_out_B,4100592177.0,2018-03-01 00:03:00 PST
reg150to15001,continuous_rating|current_out_C,361265554932.0,2018-03-01 00:03:00 PST
reg25to2501,continuous_rating|current_out_C,663888188262.0,2018-03-01 00:03:00 PST
reg160to16001,continuous_rating|current_out_B,179686966937.0,2018-03-01 00:03:00 PST
reg160to16001,continuous_rating|current_out_C,596896214179.0,2018-03-01 00:03:00 PST
line8to13,rating.summer.continuous|current_out_A,610.6528743189538,2018-03-01 00:03:30 PST
line8to13,rating.summer.continuous|current_in_A,610.6523770927286,2018-03-01 00:03:30 PST
line8to13,rating.winter.continuous|current_out_A,610.6528743189538,2018-03-01 00:03:30 PST
line8to13,rating.winter.continuous|current_in_A,610.6523770927286,2018-03-01 00:03:30 PST
line149to1,rating.summer.continuous|current_out_C,554.9437662869884,2018-03-01 00:03:30 PST
line149to1,rating.summer.continuous|current_in_C,554.9437729952043,2018-03-01 00:03:30 PST
line149to1,rating.winter.continuous|current_out_C,554.9437662869884,2018-03-01 00:03:30 PST
line149to1,rating.winter.continuous|current_in_C,554.9437729952043,2018-03-01 00:03:30 PST
reg150to15001,continuous_rating|current_out_B,410059217699.0,2018-03-01 00:03:30 PST
reg150to15001,continuous_rating|current_out_C,361477554932.0,2018-03-01 00:03:30 PST
reg25to2501,continuous_rating|current_out_C,660234187125.0,2018-03-01 00:03:30 PST
reg160to16001,continuous_rating|current_out_B,179686966933.0,2018-03-01 00:03:30 PST
reg160to16001,continuous_rating|current_out_C,596357214179.0,2018-03-01 00:03:30 PST
